age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,3,226802,6.0,7,4,6,3,2,1,0,0,40,38,0.0
38,3,89814,8.0,9,2,4,0,4,1,0,0,50,38,0.0
28,1,336951,11.0,12,2,10,0,4,1,0,0,40,38,1.0
44,3,160323,9.0,10,2,6,0,2,1,7688,0,40,38,1.0
18,8,103497,9.0,10,4,14,3,4,0,0,0,30,38,0.0
34,3,198693,5.0,6,4,7,1,4,1,0,0,30,38,0.0
29,8,227026,8.0,9,4,14,4,2,1,0,0,40,38,0.0
63,5,104626,15.0,15,2,9,0,4,1,3103,0,32,38,1.0
24,3,369667,9.0,10,4,7,4,4,0,0,0,40,38,0.0
55,3,104996,3.0,4,2,2,0,4,1,0,0,10,38,0.0
65,3,184454,8.0,9,2,6,0,4,1,6418,0,40,38,1.0
36,0,212465,12.0,13,2,0,0,4,1,0,0,40,38,0.0
26,3,82091,8.0,9,4,0,1,4,0,0,0,39,38,0.0
58,8,299831,8.0,9,2,14,0,4,1,0,0,35,38,0.0
48,3,279724,8.0,9,2,6,0,4,1,3103,0,48,38,1.0
43,3,346189,13.0,14,2,3,0,4,1,0,0,50,38,1.0
20,6,444554,9.0,10,4,7,3,4,1,0,0,25,38,0.0
43,3,128354,8.0,9,2,0,5,4,0,0,0,30,38,0.0
37,3,60548,8.0,9,6,6,4,4,0,0,0,20,38,0.0
40,3,85019,14.0,16,2,9,0,1,1,0,0,45,41,1.0
34,3,107914,12.0,13,2,12,0,4,1,0,0,47,38,1.0
34,3,238588,9.0,10,4,7,3,2,0,0,0,35,38,0.0
72,8,132015,3.0,4,0,14,1,4,0,0,0,6,38,0.0
25,3,220931,12.0,13,4,9,1,4,1,0,0,43,28,0.0
25,3,205947,12.0,13,2,9,0,4,1,0,0,40,38,0.0
45,5,432824,8.0,9,2,2,0,4,1,7298,0,90,38,1.0
22,3,236427,8.0,9,4,0,3,4,1,0,0,20,38,0.0
23,3,134446,8.0,9,5,6,4,2,1,0,0,54,38,0.0
54,3,99516,8.0,9,2,2,0,4,1,0,0,35,38,0.0
32,5,109282,9.0,10,4,9,1,4,1,0,0,60,38,0.0
46,6,106444,9.0,10,2,3,0,2,1,7688,0,38,38,1.0
56,5,186651,6.0,7,6,7,4,4,0,0,0,50,38,0.0
24,5,188274,12.0,13,4,11,1,4,1,0,0,50,38,0.0
23,1,258120,9.0,10,2,10,0,4,1,0,0,40,38,0.0
26,3,43311,8.0,9,0,3,4,4,0,0,0,40,38,0.0
65,8,191846,8.0,9,2,14,0,4,1,0,0,40,38,0.0
36,1,403681,12.0,13,2,9,0,4,1,0,0,40,38,1.0
22,3,248446,2.0,3,4,8,1,4,1,0,0,50,12,0.0
17,3,269430,5.0,6,4,6,1,4,1,0,0,40,38,0.0
20,3,257509,8.0,9,4,2,3,4,1,0,0,40,38,0.0
65,3,136384,13.0,14,2,9,0,4,1,0,0,50,38,1.0
44,4,120277,10.0,11,2,11,0,4,1,0,0,45,38,1.0
36,3,465326,8.0,9,2,4,0,4,1,0,0,40,38,0.0
29,3,103634,6.0,7,2,7,0,4,1,0,0,40,38,0.0
20,6,138371,9.0,10,4,4,3,4,1,0,0,32,38,0.0
28,3,242832,10.0,11,2,9,5,4,0,0,0,36,38,1.0
39,3,290208,3.0,4,2,2,0,4,1,0,0,40,25,0.0
54,3,186272,9.0,10,2,13,0,4,1,3908,0,50,38,0.0
52,3,201062,6.0,7,5,8,1,2,0,0,0,18,38,0.0
56,4,131916,8.0,9,6,3,1,4,0,0,0,50,38,0.0
18,3,54440,9.0,10,4,7,3,4,1,0,0,20,38,0.0
39,3,280215,8.0,9,0,5,3,2,1,0,0,40,38,0.0
21,3,214399,9.0,10,4,7,3,4,0,0,1721,24,38,0.0
22,3,54164,8.0,9,4,7,1,4,1,14084,0,60,38,1.0
38,3,219446,4.0,5,3,3,1,4,1,0,0,54,25,0.0
21,3,110677,9.0,10,4,0,3,4,0,0,0,40,38,0.0
63,3,145985,8.0,9,2,2,0,4,1,0,0,40,38,0.0
34,1,382078,12.0,13,2,3,0,4,1,3103,0,50,38,1.0
42,4,170721,8.0,9,2,3,0,4,1,5178,0,50,38,1.0
33,3,269705,8.0,9,2,5,0,4,1,0,0,40,38,0.0
30,3,101135,12.0,13,4,3,1,4,0,0,0,50,38,0.0
39,3,118429,9.0,10,0,11,1,4,1,0,0,40,38,0.0
26,3,31208,13.0,14,4,3,1,4,0,0,0,40,38,0.0
33,3,281384,8.0,9,4,6,3,4,0,0,0,40,38,0.0
47,1,171807,8.0,9,0,0,1,4,0,0,0,40,38,0.0
41,3,109912,12.0,13,4,7,1,4,0,0,0,40,41,0.0
41,4,445382,11.0,12,2,2,0,4,1,15024,0,60,38,1.0
19,3,105460,9.0,10,4,7,3,4,1,0,0,20,38,0.0
46,3,170338,8.0,9,5,13,1,4,1,0,0,40,38,0.0
43,3,102606,8.0,9,2,11,0,4,1,0,0,48,38,0.0
55,3,323887,9.0,10,2,3,0,4,1,15024,0,45,38,1.0
46,3,175622,10.0,11,2,12,0,4,1,0,0,40,38,0.0
30,3,229636,8.0,9,2,6,0,4,1,0,0,40,25,0.0
21,3,388946,9.0,10,5,5,1,4,0,0,0,40,38,0.0
46,3,269034,9.0,10,2,2,0,3,1,0,0,40,5,0.0
17,8,165361,5.0,6,4,14,3,4,1,0,0,40,38,0.0
41,3,75012,8.0,9,2,6,0,4,1,0,0,50,38,0.0
69,4,174379,8.0,9,2,11,0,4,1,0,0,30,38,0.0
50,3,312477,8.0,9,2,13,0,4,1,0,0,40,38,0.0
20,3,72055,9.0,10,4,0,1,4,0,0,0,40,38,0.0
45,4,67001,9.0,10,2,6,0,4,1,0,0,50,38,0.0
23,3,213734,12.0,13,4,3,1,4,1,0,0,40,38,0.0
24,3,83141,9.0,10,5,7,1,4,1,0,1876,40,38,0.0
44,4,223881,8.0,9,2,2,0,4,1,99999,0,50,41,1.0
31,5,113752,9.0,10,2,2,0,4,1,0,0,50,38,0.0
43,3,170482,8.0,9,5,6,1,4,0,0,0,44,38,0.0
20,0,244689,6.0,7,4,7,3,4,0,0,0,10,38,0.0
55,3,160631,8.0,9,2,11,0,4,1,0,0,56,38,1.0
24,0,228724,9.0,10,4,1,1,4,1,0,0,40,38,0.0
41,8,38434,13.0,14,2,14,5,4,0,7688,0,10,38,1.0
59,3,292946,12.0,13,4,3,1,4,0,0,0,25,38,0.0
49,0,77443,3.0,4,4,7,1,2,1,0,0,20,38,0.0
33,3,176410,13.0,14,2,9,5,4,0,5178,0,10,38,1.0
59,0,98984,12.0,13,0,0,1,4,1,0,0,40,38,0.0
34,3,198751,13.0,14,4,7,1,0,1,0,0,40,38,0.0
20,3,479296,8.0,9,4,5,3,4,1,0,0,40,38,0.0
25,3,235218,12.0,13,4,3,3,4,0,0,0,40,38,0.0
49,3,164877,5.0,6,2,4,0,4,1,0,0,40,38,0.0
59,3,272087,8.0,9,2,13,0,4,1,0,0,40,38,1.0
20,3,169699,8.0,9,4,0,1,4,0,0,0,40,38,0.0
51,8,189762,9.0,10,2,14,5,4,0,0,0,18,38,0.0
33,3,202191,9.0,10,4,0,4,2,0,0,0,35,38,0.0
22,3,212261,9.0,10,4,13,3,2,1,0,0,39,38,0.0
58,5,301568,4.0,5,6,7,1,4,0,0,0,40,38,0.0
52,1,155233,8.0,9,6,0,4,4,0,0,0,28,38,0.0
36,3,75826,5.0,6,5,6,1,4,0,0,0,40,38,0.0
41,1,201520,8.0,9,2,10,0,4,1,0,0,40,38,0.0
28,3,154236,8.0,9,4,13,3,4,1,2597,0,40,38,0.0
19,3,289227,9.0,10,4,5,3,2,1,0,0,16,38,0.0
18,3,217439,8.0,9,4,7,1,4,0,0,0,28,38,0.0
18,3,179020,8.0,9,4,6,3,4,0,0,0,48,38,0.0
28,3,149624,9.0,10,2,2,0,4,1,0,0,40,38,0.0
29,3,337266,10.0,11,2,3,0,4,1,0,0,40,38,1.0
20,8,30796,8.0,9,4,14,3,4,0,0,0,20,38,0.0
40,3,103541,9.0,10,2,5,0,4,1,0,0,40,38,0.0
26,3,206721,8.0,9,4,5,4,4,1,0,0,40,38,0.0
46,3,96773,8.0,9,2,2,0,4,1,0,0,40,38,0.0
23,3,200967,6.0,7,4,7,1,4,0,0,0,24,38,0.0
44,3,180019,8.0,9,3,0,4,4,0,0,0,40,38,0.0
43,3,179866,12.0,13,0,11,4,4,0,0,0,40,38,1.0
31,1,198770,12.0,13,0,9,4,4,0,0,0,60,38,0.0
18,3,219256,9.0,10,4,11,3,4,0,0,0,25,38,0.0
19,3,248730,9.0,10,4,10,3,4,1,0,0,30,38,0.0
41,3,110732,9.0,10,0,12,1,4,0,0,0,40,38,0.0
41,3,181020,8.0,9,0,5,4,4,0,0,0,40,38,0.0
69,3,183791,8.0,9,0,0,1,4,0,0,0,25,38,0.0
48,0,42972,14.0,16,2,9,5,4,0,0,0,40,38,1.0
28,3,134813,8.0,9,4,9,3,4,1,0,0,40,38,0.0
27,5,115438,8.0,9,2,2,0,4,1,0,0,60,20,1.0
41,3,239296,13.0,14,2,9,0,4,1,0,2415,50,38,1.0
41,3,428420,9.0,10,2,0,0,4,1,0,0,40,38,0.0
24,3,247846,8.0,9,4,2,4,2,0,0,0,40,38,0.0
20,8,334105,8.0,9,4,14,1,4,0,0,0,40,38,0.0
42,4,100793,14.0,16,2,9,0,4,1,0,0,41,38,1.0
57,3,244478,8.0,9,2,2,0,2,1,0,0,48,38,0.0
30,3,142921,11.0,12,4,9,1,4,0,0,0,40,38,0.0
36,3,182863,8.0,9,2,11,0,4,1,0,0,60,38,1.0
49,3,171128,3.0,4,2,6,0,2,1,0,0,40,38,0.0
33,3,145402,8.0,9,2,6,5,4,0,0,0,35,38,0.0
23,3,306309,5.0,6,2,4,0,4,1,0,0,40,38,0.0
